,song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
1,1.wav,103.359375,131646,1278.116504854369,0.32927417755126953,0.2925155460834503,0.08556533604860306,0.5070924752315813,0.252598113161716,0.06380580677285907,0.25900100062837245,0.12748260668355949,0.01625181500683513,4.391409397125244,24.166616439819336,584.0253295898438,-2.688453197479248,42.04397201538086,1767.695556640625,0.01020358968526125,1.9601258039474487,3.8420932292938232,1677.3467695724612,525.7137159266939,276374.91111345263,2221.502965517591,331.3822488749699,109814.19486943247,21.865130735874796,6.489770758227266,42.1171244943417,21.865130735874796,6.489770758227266,42.1171244943417,1.5135760237721116,1.6283684973197268,2.6515839630633047,0.00770218395479186,0.07213670423322956,0.0052037040976324386,0.06221258677196207,0.040660564440289856,0.001653281500602964,-7.238146508825594e-07,0.11692497134208679,0.0136714493855834,-3.1239733289112337e-06,0.036109913140535355,0.0013039257610216737,2.935002267573696,1.4286481624714358,2.0410355721330102
2,10.wav,135.99917763157896,173456,1284.8592592592593,0.2698933482170105,0.2960198223590851,0.08762773126363754,0.45885827749172947,0.26730745563795444,0.07145327583963698,0.24891177394382868,0.1462062314864509,0.02137626212546967,8.57446002960205,59.839778900146484,3580.799072265625,-2.1505234241485596,54.735137939453125,2995.935302734375,0.009171489626169205,2.9773945808410645,8.86487865447998,1430.2415622863052,896.5044634175298,803720.252927553,1717.827624691665,738.7481982563885,545748.9004270602,22.80127514027979,6.709480652156348,45.017130621660364,22.80127514027979,6.709480652156348,45.017130621660364,1.8632261751114658,2.2063418225222535,4.8679442378108195,-0.019492097487015816,0.0773176140549165,0.00597801344314502,0.06869950899767802,0.04813773066741696,0.002317241113808775,5.494810920936288e-06,0.16673702001571655,0.027801236137747765,5.572324153035879e-05,0.055121708661317825,0.0030384028796106577,4.991129251700681,3.0509683994518952,9.308408174454058
3,100.wav,129.19921875,162818,1282.0314960629921,0.33296939730644226,0.30054131150245667,0.09032507240772247,0.4691560001615306,0.2681563323579834,0.07190781858368528,0.24745287597006183,0.14866205806283772,0.02210040750747853,6.121360778808594,30.806110382080078,949.0164184570312,-0.7119898200035095,42.792388916015625,1831.1885986328125,0.006688151508569717,2.6054975986480713,6.7886176109313965,2040.9147756401119,842.9586149288458,710579.2264827582,2201.5923886766764,478.06105167246903,228542.3691261871,22.20778424979923,6.955264071023753,48.37569829767391,22.20778424979923,6.955264071023753,48.37569829767391,1.8995079785017805,2.223206495196398,4.942647120283451,0.01763200391341985,0.07982866550884561,0.006372615836923157,0.09433389669601393,0.06781360069789133,0.004598684439613048,1.3578897778643295e-05,0.1339639127254486,0.017946330830454826,-4.702540536527522e-05,0.06055310368537903,0.00366667821072042,4.596390022675736,3.1854399112138974,10.147027427954402
4,11.wav,86.1328125,106181,1310.8765432098764,0.4634511470794678,0.29635611176490784,0.0878269374370575,0.5054295195582695,0.2750266440937858,0.07563965496148993,0.2538479023063651,0.13745754191018925,0.018894575827991433,5.0078277587890625,58.42304229736328,3413.251953125,-0.8484696745872498,53.495113372802734,2861.727294921875,0.012105009518563747,3.7965242862701416,14.413596153259277,2484.4620352300108,1399.20937682297,1957786.880189324,2380.7675679887257,627.4459744070331,393688.45079959114,19.47141036689637,7.633875573452617,58.276056270956516,19.47141036689637,7.633875573452617,58.276056270956516,1.3236788366337982,1.8361626613820203,3.371493319053504,0.00578562465406702,0.06919827271794987,0.004788400947147766,0.11795091186145511,0.1199619465935341,0.014390868630509927,-3.5556893180910265e-06,0.09894848614931107,0.00979080330580473,-4.433612588172764e-08,0.08120878040790558,0.006594866048544645,7.389750566893423,2.6899881518922655,7.236036257320765
5,12.wav,112.34714673913044,138468,1344.3495145631068,0.32955798506736755,0.3015260696411133,0.09091797471046448,0.4212430288099789,0.2745968408920492,0.0754034250278934,0.23486520943954006,0.1678441739479042,0.028171666728254326,15.726978302001953,80.74249267578125,6519.3505859375,3.4331583976745605,40.61421585083008,1649.5145263671875,0.010672889649868011,2.3868513107299805,5.697059631347656,1669.0093968396066,719.085961743511,517084.62037659023,2047.8633374365381,514.6092726299422,264822.7034767182,21.6507013378736,7.6111179009435554,57.929115702063434,21.6507013378736,7.6111179009435554,57.929115702063434,2.8829698302682183,3.276531781155988,10.735660512925232,-0.0008780676200200822,0.08873160681820232,0.007873298048540048,0.06834388000677244,0.049186320892800534,0.0024192941629695465,-2.831812344084028e-05,0.22484181821346283,0.05055384337902069,-0.00015191221609711647,0.07791448384523392,0.0060706669464707375,10.24,2.9459433830564925,8.678582416174333
6,13.wav,129.19921875,150986,1237.5901639344263,0.4535195529460907,0.2721267342567444,0.07405296713113785,0.5252115369607778,0.24942628768774894,0.0622134729896917,0.2647052400937432,0.1151714773728595,0.013264469200247087,14.003744125366211,52.00474166870117,2704.4931640625,5.70407247543335,27.957387924194336,781.6155395507812,0.012962322682142258,2.4167885780334473,5.840867519378662,2291.6098066437894,699.3820104342325,489135.19651902886,2429.2936829089067,367.2817524742138,134895.88570052967,19.72176246394684,7.428193277106378,55.1780553620484,19.72176246394684,7.428193277106378,55.1780553620484,3.7377097271280175,3.985894440259472,15.88735448889137,0.0030066184032729493,0.06132163344920613,0.003760342728878796,0.10624803478134674,0.05620987431558212,0.003159549970573539,-7.874450602685101e-06,0.19281105697155,0.03717610612511635,-0.00012333532504271716,0.0969986841082573,0.009408744052052498,3.1161179138321997,1.7492132949171808,3.05974715111502
7,14.wav,117.45383522727273,146754,1254.3076923076924,0.27968981862068176,0.29723718762397766,0.08834993839263916,0.42534329230137896,0.2803705344888546,0.07860763660956599,0.2347898814040545,0.16794953088235573,0.028207044923603364,4.653475284576416,27.218097686767578,740.8248901367188,-1.7095541954040527,55.36689758300781,3065.493408203125,0.0054917773231863976,3.0125033855438232,9.075177192687988,1340.8726854305241,653.452381688986,427000.01513500814,2058.8109409117224,595.2342248251125,354303.7824031526,21.466038881377457,5.685986043009408,32.33043728129778,21.466038881377457,5.685986043009408,32.33043728129778,1.2539870232177432,1.3811278936378235,1.9075142585844511,0.02916049495270444,0.09018107538762567,0.008132626358068624,0.03959008562306501,0.0179164293094036,0.0003209984391988564,7.975539119797759e-06,0.12524156272411346,0.01568545028567314,6.162612407933921e-06,0.03977586701512337,0.0015821194974705577,1.6938956916099772,0.9649972624616248,0.9312197165584299
8,15.wav,117.45383522727273,152910,1274.25,0.35712897777557373,0.2973887622356415,0.08844006806612015,0.4152476475818778,0.2777346989425022,0.07713656299668233,0.24249489200850982,0.1566191580973237,0.024529560683114484,5.671178340911865,31.32424545288086,981.2083740234375,1.7837109565734863,47.029170989990234,2211.742919921875,0.011672510765492916,3.044187545776367,9.267077445983887,1562.8374539162305,763.051012315072,582246.8473950562,2040.2150818345544,524.7319909517624,275343.66232820053,22.379399681287975,7.767624985208856,60.33599791084088,22.379399681287975,7.767624985208856,60.33599791084088,1.6790220944150445,1.8281055252292253,3.341969811373622,-0.00770917184644323,0.08542784422100555,0.007297916568248391,0.061712022905379256,0.044067637257472335,0.001941956653456164,-7.858438948460389e-06,0.13886752724647522,0.019284190610051155,-3.9139882574090734e-05,0.042932070791721344,0.0018431628122925758,4.294530612244898,2.270378190913614,5.154617129776173
9,16.wav,92.28515625,117288,1274.8695652173913,0.39487141370773315,0.3154412806034088,0.09950319677591324,0.5067029221673934,0.28405970686339443,0.08068991706331757,0.2540428429683291,0.1370969265516271,0.018795567269902242,1.0748144388198853,8.676700592041016,75.28512573242188,-6.752869606018066,50.017059326171875,2501.7060546875,0.00674084248021245,2.7939329147338867,7.806061744689941,2830.864684669385,800.5916572876116,640947.0017185245,2774.330071181339,315.8858292268355,99783.85710632548,21.510511074012896,9.794521073530687,95.93264305983672,21.510511074012896,9.794521073530687,95.93264305983672,0.7917157503410724,1.087305267650084,1.182232745059621,0.008507939799012867,0.07517026876167403,0.005650569305702307,0.12778456366099072,0.08023199366003086,0.006437172806663232,-1.3572168427344877e-05,0.054004520177841187,0.002916488330811262,-3.170683703501709e-05,0.032216429710388184,0.001037898357026279,4.577814058956916,3.9651312344600416,15.722265706490612
10,17.wav,161.4990234375,203258,1278.3522012578617,0.32942715287208557,0.29494601488113403,0.08699314296245575,0.3963302512585103,0.2791521977389231,0.07792594950247081,0.2229950307921977,0.18332089235905472,0.033606549575320124,6.120645999908447,38.81233215332031,1506.3970947265625,-1.8217304944992065,62.75577926635742,3938.287841796875,0.004677889868617058,2.4064159393310547,5.79083776473999,1152.3542603303633,964.8985051327072,931029.125207333,1674.9163089079225,847.3839819577859,718059.6128786332,22.523524652236418,6.072153708229005,36.871050656359266,22.523524652236418,6.072153708229005,36.871050656359266,1.3793172498515363,1.539689883464714,2.3706449372435845,0.021681982985082313,0.09985746432385219,0.009971513181189412,0.04361821697223297,0.044067001657227385,0.0019419006350580809,-2.5250346880056895e-05,0.146387979388237,0.02142944000661373,-3.9743779780110344e-05,0.0390213243663311,0.0015226636314764619,7.423419501133788,3.1345399340716344,9.825340598289808
